"","ssn","annual_income"
"629",173144170,35200
"630",173156921,77000
"631",173489129,44000
"632",173592189,43900
"633",173620827,51100
"634",173643284,40200
"635",173680090,73700
"636",173851420,41000
"637",173943973,17400
"638",173944581,60500
"639",173975577,70600
"640",173996789,23700
"641",174007787,19100
"642",174049579,21400
"643",174296247,71400
"644",174637927,29000
"645",174928555,62900
"646",175007089,64700
"647",175365040,55000
"648",175388409,43300
"649",175491025,20300
"650",175719856,54300
"651",176116498,74300
"652",176256533,24200
"653",176404498,88600
"654",176467670,64500
"655",176832218,61100
"656",177626762,10200
"657",177688951,38400
"658",178202115,14400
"659",178203809,80400
"660",178337014,70200
"661",178591718,85900
"662",179009954,49900
"663",179035836,82600
"664",179129776,24500
"665",179171586,42700
"666",179227297,42300
"667",179394797,65400
"668",179523467,76300
"669",179538067,19800
"670",179614112,58200
"671",179630212,56600
"672",179822586,22200
"673",179893879,18400
"674",179896768,49500
"675",179916498,17900
"676",180273004,47100
"677",180282024,83700
"678",180545802,51800
"679",180706293,51500
"680",180718981,26600
"681",180726883,87400
"682",180844502,31200
"683",180849129,61600
"684",180894964,87000
"685",181130905,69300
"686",181527888,69000
"687",181698461,22700
"688",181773274,42800
"689",181880106,10200
"690",181905909,61600
"691",181934862,16900
"692",182208743,41900
"693",182462857,52100
"694",182522465,27300
"695",182552078,60800
"696",182680263,19700
"697",182722151,16200
"698",182789949,70600
"699",182792995,68600
"700",182870554,25400
"701",182870871,41900
"702",183032540,36000
"703",183073973,53400
"704",183194732,24300
"705",183286923,24800
"706",183349599,53700
"707",183638153,20400
"708",183765090,71800
"709",183767707,20000
"710",184055462,85300
"711",184089470,60100
"712",184108067,51000
"713",184294205,393000
"714",184345722,69300
"715",184373182,43500
"716",184472827,22500
"717",184521726,77500
"718",184529965,53000
"719",184712692,19300
"720",185130980,23400
"721",185391310,15500
"722",185403705,35500
"723",185452638,31900
"724",185483769,74400
"725",185590717,53200
"726",185646203,14200
"727",185738133,68400
"728",185941095,25500
"729",186109688,50400
"730",186336989,40700
"731",186343549,22800
"732",186376975,39400
"733",186486555,38200
"734",186864147,85900
"735",186897547,79500
"736",186914514,55900
"737",187378423,73400
"738",187438138,59400
"739",187473189,72200
"740",187794965,22000
"741",187926062,84900
"742",187970966,44200
"743",188052464,89900
"744",188076343,78600
"745",188210350,14800
"746",188481211,27200
"747",188571249,87000
"748",188636018,82800
"749",188823559,15800
"750",188878801,20400
"751",189094071,27400
"752",189200697,49000
"753",189241404,61500
"754",189374278,78600
"755",189438242,57000
"756",189587296,53700
"757",189698278,28400
"758",189874670,51700
"759",189910809,66700
"760",190169916,44700
"761",190365200,24100
"762",190639199,48500
"763",190650130,52900
"764",190796780,69800
"765",190846983,72800
"766",191058120,70800
"767",191058569,44400
"768",191098528,40900
"769",191275353,12000
"770",191351160,58300
"771",191484463,75900
"772",191491275,68800
"773",191639211,65200
"774",191912507,45900
"775",192067507,71000
"776",192096278,11600
"777",192271419,10400
"778",192579844,67800
"779",192641019,65100
"780",192645653,27000
"781",192844796,61000
"782",192991371,66000
"783",193001141,67100
"784",193101963,141900
"785",193369255,28200
"786",193536750,76600
"787",193587401,35000
"788",193595325,51300
"789",193993632,88000
"790",194328661,57500
"791",194487209,71000
"792",194572589,83600
"793",194656984,15200
"794",194671114,16600
"795",194676009,72800
"796",194741785,28100
"797",194828726,18000
"798",195007722,78500
"799",195057677,74600
"800",195200681,18200
"801",195245670,54800
"802",195310245,42700
"803",195322293,48100
"804",195444716,58600
"805",195620508,31800
"806",195937019,53000
"807",196002572,28000
"808",196009434,28200
"809",196059699,172100
"810",196185634,23100
"811",196194128,75800
"812",196303803,45800
"813",196454177,45800
"814",196497508,69000
"815",196633746,36900
"816",196649285,23400
"817",196743671,51100
"818",196864368,16400
"819",197083197,66500
"820",197134448,72600
"821",197442336,49600
"822",197623361,89000
"823",197638492,36600
"824",197874651,68900
"825",198098116,16100
"826",198141609,89800
"827",198193950,13200
"828",198276625,42300
"829",198429101,88900
"830",198870280,79900
"831",198975210,53300
"832",199024941,11800
"833",199061421,59200
"834",199098510,11600
"835",199109265,51000
"836",199245839,11500
"837",199613776,78100
"838",199892388,76100
"839",200050332,51400
"840",200117509,10300
"841",200176599,53500
"842",200356913,58500
"843",200614896,25500
"844",200618623,64600
"845",200720409,15800
"846",200732310,38300
"847",200897375,49700
"848",200954545,36800
"849",201113178,80600
"850",201217302,82900
"851",201272595,37500
"852",201290179,64300
"853",201442258,10100
"854",201670659,52700
"855",202256064,16200
"856",202268023,19200
"857",202319135,56500
"858",202374763,56700
"859",202500763,69500
"860",202517737,80500
"861",202536764,17300
"862",202539450,67000
"863",202539587,56000
"864",202662630,86200
"865",202955628,11100
"866",203046730,30900
"867",203116600,52700
"868",203247962,50700
"869",203265501,23200
"870",203456431,32600
"871",203636571,19700
"872",203644905,78500
"873",203846889,79700
"874",204214505,42000
"875",204256047,15700
"876",204526571,81900
"877",204589749,67900
"878",204773032,65900
"879",205250036,79000
"880",205436926,28000
"881",205445653,49500
"882",205458096,51200
"883",205550216,44100
"884",205767740,77000
"885",205938644,33900
"886",206016127,38900
"887",206048327,73600
"888",206094032,59700
"889",206157832,25300
"890",206159970,26900
"891",206296191,18900
"892",206643051,46800
"893",206654762,38300
"894",206736912,86900
"895",206818573,70500
"896",207176741,37000
"897",207179318,79500
"898",207220994,38200
"899",207384812,45000
"900",207428401,59400
"901",207533667,56500
"902",207539793,31300
"903",207580234,73100
"904",207603125,72400
"905",207652233,72800
"906",207680702,68300
"907",207689983,66300
"908",207802002,69700
"909",207814588,34000
"910",207885840,18300
"911",208006636,78000
"912",208069966,70000
"913",208325677,33500
"914",208327008,25300
"915",208359813,41600
"916",208586364,45300
"917",208643558,25800
"918",208676025,446200
"919",208720044,70100
"920",208821070,17200
"921",209023375,86200
"922",209769759,70700
"923",209894743,61700
"924",210177080,30700
"925",210240543,30900
"926",210248425,44300
"927",210311727,290000
"928",210324452,12200
"929",210351059,85600
"930",210392014,13300
"931",210429368,73100
"932",210442237,35300
"933",210715397,62000
"934",210824033,22000
"935",210942952,72000
"936",210994010,73300
"937",211047647,83500
"938",211172374,43100
"939",211348429,89300
"940",211414439,23300
"941",211618507,51100
"942",211885265,64700
"943",212241746,59600
"944",212251552,34400
"945",212275911,89500
"946",212279394,87400
"947",212414461,62800
"948",212481014,80200
"949",212514896,48800
"950",212525673,63600
"951",213001047,22200
"952",213062383,21400
"953",213254944,12300
"954",213278876,26700
"955",213356135,46100
"956",213392254,20000
"957",213665325,42500
"958",213783400,16600
"959",213893785,67700
"960",213956168,24900
"961",214010171,28900
"962",214019242,20900
"963",214032382,35600
"964",214199055,62600
"965",214412026,51700
"966",214501821,87600
"967",214713420,88100
"968",214715719,52500
"969",214799742,79100
"970",215039924,61200
"971",215083145,38800
"972",215266488,56400
"973",215403489,326400
"974",215403824,66900
"975",215733635,82800
"976",215845193,32100
"977",215917206,41700
"978",216059344,89300
"979",216212100,41800
"980",216315299,77700
"981",216426943,49800
"982",217153348,59900
"983",217277929,55200
"984",217364380,70600
"985",217402018,59600
"986",217526051,36300
"987",217527986,58000
"988",218050377,14700
"989",218064623,78200
"990",218176495,25900
"991",218223105,85000
"992",218506542,81400
"993",218579951,20600
"994",218598791,23500
"995",218707391,32800
"996",218829469,43600
"997",218929246,47000
"998",219145542,40400
"999",219319644,87900
"1000",219442594,53000
"1001",219543101,62600
"1002",219552281,44700
"1003",219729233,56500
"1004",219738764,12800
"1005",219753559,13200
"1006",219820743,52400
"1007",219901696,53000
"1008",219917184,58500
"1009",220128892,55900
"1010",220182218,75100
"1011",220184499,61000
"1012",220214412,66900
"1013",220241152,70100
"1014",220262027,44000
"1015",220633353,13500
"1016",220651894,46100
"1017",220840124,85500
"1018",220943140,77200
"1019",220997806,48400
"1020",221196927,39300
"1021",221247004,40000
"1022",221254409,28900
"1023",221383839,28000
"1024",221492919,59300
"1025",221507250,61700
"1026",221665561,226600
"1027",221762279,66600
"1028",221807736,69300
"1029",221866283,69900
"1030",221908027,79200
"1031",222533559,52200
"1032",222578234,17800
"1033",222584887,85600
"1034",222733519,13300
"1035",222874855,59500
"1036",222892356,56800
"1037",223003201,13100
"1038",223095033,87800
"1039",223100043,49800
"1040",223194964,21200
"1041",223376478,89800
"1042",223402965,80000
"1043",223477056,82000
"1044",223629722,71500
"1045",223663793,39100
"1046",223678882,17100
"1047",223765102,50500
"1048",223861356,53900
"1049",223921589,57600
"1050",224047144,49700
"1051",224581320,50800
"1052",224630607,84400
"1053",224680057,48100
"1054",224762533,64300
"1055",224847104,80500
"1056",224878939,56100
"1057",224942873,31700
"1058",225052190,11200
"1059",225067144,46900
"1060",225094863,78000
"1061",225166866,83400
"1062",225255798,50500
"1063",225310463,61800
"1064",225358491,71500
"1065",225371314,66900
"1066",225436483,73500
"1067",225489023,62100
"1068",225670984,25300
"1069",225689567,69800
"1070",226038654,23000
"1071",226217805,45800
"1072",226219179,29100
"1073",226339953,41900
"1074",226436553,80600
"1075",226701649,11500
"1076",226743672,80800
"1077",226825166,70800
"1078",227168017,74200
"1079",227230066,22000
"1080",227519424,85200
"1081",227676921,43800
"1082",227870562,47200
"1083",228054242,85700
"1084",228087561,39700
"1085",228099037,58200
"1086",228123723,70800
"1087",228510491,84700
"1088",228604596,80900
"1089",228621414,46300
"1090",228737293,60000
"1091",228929107,61500
"1092",229056438,52800
"1093",229156213,31000
"1094",229367141,71200
"1095",229426704,11700
"1096",229494810,73400
"1097",229578848,29100
"1098",229702218,34300
"1099",229712120,11600
"1100",229868928,18600
"1101",229965677,19800
"1102",229977173,38900
"1103",230490352,85200
"1104",230508503,10100
"1105",230587359,64200
"1106",230635212,14300
"1107",230657671,83100
"1108",230839373,27700
"1109",230924258,66400
"1110",230925500,84400
"1111",230964850,23900
"1112",231199495,38800
"1113",231429080,88300
"1114",231456786,54800
"1115",231605998,35300
"1116",231644000,40300
"1117",231975114,71600
"1118",232048077,13600
"1119",232107003,73800
"1120",232482474,57400
"1121",232888779,87200
"1122",232910086,51100
"1123",232976048,18800
"1124",233156889,55100
"1125",233270418,38200
"1126",233319182,49000
"1127",233322564,46800
"1128",233535179,37400
"1129",233681181,25800
"1130",233915862,52500
"1131",234334717,67900
"1132",234427800,55600
"1133",234579670,61600
"1134",234730727,34300
"1135",234743460,71800
"1136",234990806,52900
"1137",235101722,74300
"1138",235259050,11600
"1139",235315959,60800
"1140",235389141,40800
"1141",235436897,81800
"1142",235737383,15100
"1143",235777620,43100
"1144",235814624,62300
"1145",235970701,40700
"1146",236021879,70600
"1147",236060368,33400
"1148",236080796,18900
"1149",236096021,89400
"1150",236183384,81600
"1151",236348984,11100
"1152",236415130,53500
"1153",236440233,40700
"1154",237037927,31400
"1155",237268257,17000
"1156",237332673,71500
"1157",237482923,59400
"1158",237753984,32400
"1159",237834375,35400
"1160",238139266,43400
"1161",238242388,49400
"1162",238447145,38100
"1163",238453476,67000
"1164",238518305,25900
"1165",238633293,45700
"1166",238786405,50400
"1167",238799434,49600
"1168",238864853,29600
"1169",238991616,77200
"1170",239246166,80900
"1171",239337261,30200
"1172",239549415,35600
"1173",239569981,68700
"1174",239616391,79100
"1175",239669792,21500
"1176",239697261,80100
"1177",239748810,81100
"1178",239905724,48200
"1179",240069906,15300
"1180",240132041,66200
"1181",240253850,67600
"1182",240360177,66400
"1183",240409916,11300
"1184",240629242,39100
"1185",240788001,44400
"1186",240825698,79800
"1187",240874127,76700
"1188",240913821,72800
"1189",240951896,87700
"1190",241169761,12300
"1191",241223836,12800
"1192",241281835,38000
"1193",241339253,39700
"1194",241340497,272900
"1195",241481222,81200
"1196",241542476,26300
"1197",241576296,49700
"1198",241816247,65500
"1199",241984154,44600
"1200",241995053,73900
"1201",242211901,48500
"1202",242398390,88100
"1203",242415030,21100
"1204",242419658,82000
"1205",242745711,81600
"1206",242820177,88100
"1207",242901077,22400
"1208",242924094,68600
"1209",243094871,34300
"1210",243136295,33700
"1211",243282208,47600
"1212",243533926,37700
"1213",243587154,16300
"1214",243591505,80800
"1215",243694425,88200
"1216",243726350,15100
"1217",243796557,46700
"1218",243821337,80500
"1219",243921861,29800
"1220",243929894,86200
"1221",244014263,87300
"1222",244032119,60100
"1223",244121629,86700
"1224",244423805,35900
"1225",244429463,62800
"1226",244494002,63000
"1227",244496056,24300
"1228",244519749,18200
"1229",244780904,22900
"1230",244812695,23600
"1231",244897210,23400
"1232",244988508,41900
"1233",245047799,62700
"1234",245220391,61500
"1235",245223978,46700
"1236",245348509,31300
"1237",245451296,37800
"1238",245546504,48100
"1239",245579270,22200
"1240",245579368,54700
"1241",245656698,16800
"1242",245709940,27300
"1243",245766266,77100
"1244",245767698,60100
"1245",245913453,54200
"1246",245986261,27400
"1247",246324307,77200
"1248",246391692,34200
"1249",246429017,48900
"1250",246503550,42100
"1251",246641457,29500
"1252",246859527,48300
"1253",246878136,18100
"1254",247078416,46200
"1255",247124418,15600
"1256",247436767,16000
"1257",247454274,75800
"1258",247496961,57400
"1259",247507113,77700
"1260",247585910,74000
"1261",247657547,59300
"1262",247725285,33300
"1263",247905219,58400
"1264",248012841,10700
"1265",248207292,37200
"1266",248280998,23400
"1267",248444430,13700
"1268",248468325,64500
"1269",248637345,64200
"1270",248830368,29800
"1271",248870176,35100
"1272",248891832,62400
"1273",249092398,36800
"1274",249302441,72500
"1275",249320012,15400
"1276",249515562,43100
"1277",249546407,68900
"1278",249807411,73100
"1279",249919928,82600
"1280",250022919,65700
"1281",250066038,55000
"1282",250282117,47500
"1283",250367285,46600
"1284",250456405,35500
"1285",250672272,442300
"1286",250784858,62900
"1287",250988006,41100
"1288",251213181,75300
"1289",251324022,44200
"1290",251610858,408900
"1291",251684064,18900
"1292",251721960,85400
"1293",251825277,42800
"1294",251966456,28700
"1295",252153479,52600
"1296",252182259,52600
"1297",252639015,29100
"1298",252660438,12200
"1299",252807457,28200
"1300",252908186,30100
"1301",252918252,41500
"1302",253085980,69100
"1303",253138021,63200
"1304",253323895,77800
"1305",253350638,26200
"1306",253460871,74900
"1307",253633008,46900
"1308",253684535,24100
"1309",253835181,80300
"1310",254045071,62500
"1311",254103600,30800
"1312",254555229,12600
"1313",254571234,60300
"1314",254726587,75900
"1315",254728977,35000
"1316",254739800,24700
"1317",254837061,19400
"1318",254883636,28500
"1319",255036361,56100
"1320",255058721,16500
"1321",255137805,71800
"1322",255340194,15800
"1323",255801447,61900
"1324",255818080,53400
"1325",255904485,253200
"1326",256189614,22200
"1327",256355661,45000
"1328",256543000,85300
"1329",256595835,53200
"1330",256713076,37500
"1331",256966918,53900
"1332",257025512,81200
"1333",257058128,12700
"1334",257092969,21700
"1335",257129549,21400
"1336",257195108,56600
"1337",257277046,22000
"1338",257351558,11300
"1339",257555515,23900
"1340",257628763,35400
"1341",257631272,27300
"1342",257690354,86900
"1343",257815996,36300
"1344",258023188,57000
"1345",258035497,46600
"1346",258205005,80300
"1347",258348092,69600
"1348",258545204,111500
"1349",258643017,30000
"1350",258732883,58900
"1351",258810159,89300
"1352",258840243,10000
"1353",258907912,19200
"1354",259098225,20600
"1355",259116413,33700
"1356",259154320,18500
"1357",259578987,28200
"1358",259625064,67200
"1359",259647940,33300
"1360",259657241,39900
"1361",259660949,41900
